Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-11-01,51,11:05:00 PM,Sunday,Yonge St and Berwick,Emergency Services,30,60,,8313
2015-11-02,54,12:16:00 AM,Monday,Lawrence East RT,Mechanical,10,20,wb,7495
2015-11-02,310,1:30:00 AM,Monday,bathurst and baycrest,Mechanical,20,40,n/b,9042
2015-11-02,1,1:37:00 AM,Monday,yonge and Point,Mechanical,3,6,S,1357
2015-11-02,54,4:50:00 AM,Monday,Eglinton yard,Mechanical,1,1,ob,7580
2015-11-02,102,5:04:00 AM,Monday,Nashdene and Markham Rd,Late Leaving Garage,4,1,SB,7780
2015-11-02,7,5:21:00 AM,Monday,Bathurst and Wilson,Late Leaving Garage,10,30,S,9008
2015-11-02,84,5:24:00 AM,Monday,Sheppard and Arrow,Late Leaving Garage,6,19,E,7934
2015-11-02,90,5:25:00 AM,Monday,Oakwood and Vaughan,Late Leaving Garage,17,17,S,8189
2015-11-02,34,5:34:00 AM,Monday,EGGA,Late Leaving Garage,1,1,E,7414
2015-11-02,87,5:36:00 AM,Monday,coxwell / mortimer,Mechanical,10,20,WB,7856
2015-11-02,14,5:37:00 AM,Monday,Caledonia Rd. and Glencairn Rd.,Mechanical,23,23,E,1281
2015-11-02,63,5:40:00 AM,Monday,caniff and strachan,Mechanical,12,24,n/b,1010
2015-11-02,24,5:44:00 AM,Monday,Danforth Ave and Victoria Park,Late Leaving Garage,12,24,N/B,8125
2015-11-02,24,5:46:00 AM,Monday,Victoria Park Station,Late Leaving Garage,12,24,N/B,7735
2015-11-02,52,5:47:00 AM,Monday,Lawrence West Station,Utilized Off Route,12,24,W,1640
2015-11-02,68,5:51:00 AM,Monday,Warden stn,Mechanical,5,9,nb,7618
2015-11-02,56,5:51:00 AM,Monday,Laird and McRae,Investigation,11,22,,8312
2015-11-02,35,5:53:00 AM,Monday,Jane and Steeles,Late Leaving Garage,5,10,S,8460
2015-11-02,7,5:57:00 AM,Monday,Bathurst and Wilson,Late Leaving Garage,8,17,S,9052
2015-11-02,86,5:58:00 AM,Monday,EGGA,Late Leaving Garage,1,1,E,7401
2015-11-02,91,5:58:00 AM,Monday,cassandra / underhill,Late Leaving Garage,1,1,NB,7864
2015-11-02,130,6:00:00 AM,Monday,Scarborough Town Centre,Mechanical,20,0,N,1715
2015-11-02,195,6:00:00 AM,Monday,Jane and Steeles,Late Leaving Garage,1,15,S,8452
2015-11-02,79,6:02:00 AM,Monday,Mount Dennis Garage,Late Leaving Garage,13,25,S,1677
2015-11-02,36,6:05:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,11,22,E/B,9116
2015-11-02,199,6:06:00 AM,Monday,Scarborough Town Centre,Utilized Off Route,3,6,W,1891
2015-11-02,160,6:07:00 AM,Monday,Wilson and Wilson Heights,Mechanical,20,40,E,1554
2015-11-02,110,6:08:00 AM,Monday,Long Branch loop,Late Leaving Garage,12,0,nb,7961
2015-11-02,97,6:10:00 AM,Monday,Yonge and Ellerslie,Mechanical,30,30,S,8370
2015-11-02,17,6:10:00 AM,Monday,Warden Stn,Late Leaving Garage,7,14,NB,7714
2015-11-02,7,6:14:00 AM,Monday,Bathurst and Wilson,Late Leaving Garage,7,15,S,9022
2015-11-02,79,6:15:00 AM,Monday,Mount Dennis Garage,Late Leaving Garage,15,23,N,1595
2015-11-02,20,6:15:00 AM,Monday,Main Station,Late Leaving Garage,13,26,N/B,7877
2015-11-02,199,6:17:00 AM,Monday,STC,Late Leaving Garage,3,6,W,1829
2015-11-02,60,6:17:00 AM,Monday,Steeles and Signet,Late Leaving Garage,10,22,E,1388
2015-11-02,36,6:18:00 AM,Monday,Arrow Road Garage,Late Leaving Garage,7,13,W/B,9133
2015-11-02,52,6:20:00 AM,Monday,Lawrence Ave.West and Jane St.,Mechanical,6,18,W,1580
2015-11-02,39,6:22:00 AM,Monday,Finch Stn & McCowan,Mechanical,5,10,E,1402
2015-11-02,61,6:22:00 AM,Monday,Bombay Loop,Late Leaving Garage,10,20,s,1574
2015-11-02,6,6:31:00 AM,Monday,Mt Dennis,Late Leaving Garage,8,16,up,1023
