,Location,Min Delay,delay_count
441,Bathurst and Wilson,9,
442,wright and pine,10,
443,Ellesmere and Markham,12,
444,KENN,10,
445,Eglinton - Lebovic,7,
446,York mills and Scarsdale,20,
447,Bayview and Sheppard,20,
448,Downsview Stn,3,
449,54-Lawrance Route,21,
450,34 Eglinton route,20,
451,Bathurst route,15,
452,100 Flemington Route,20,
453,Broadview STN,6,
454,Warden STN,10,
455,Main Stn,10,
456,Eglinton West stn,5,
457,Overbrook/Allen Rd,20,
458,Broadview STN,6,
459,Pine & Lawrence,5,
460,Finch Station,5,
461,York Mills and Gibson,8,
462,STC,4,
463,Glencairn stn,5,
464,Steeles loop,9,
465,Pape Station,3,
466,Warden Stn,20,
467,Brimley and Steeles,5,
468,Lawrance and Markham,1,
469,Ellesmere @ Markham Rd,12,
470,Yorkmills stn,10,
471,Weston Rd and Finch W,7,
472,Wellesley Station,7,
473,Warden Ave and 401,9,
474,Keele /Mapleleaf,9,
475,Downsview all branches,1,
476,Don Mills Stn,7,
477,FSTN,4,
478,Leslie & Finch,6,
479,Scar Town,2,
480,Entire Route,15,
481,Wilson garage,1,
482,Entire Route,15,
483,Entire Route,20,
484,Entire Route,10,
485,Entire route,8,
486,FSTN,4,
487,Don Mills Stn,9,
488,FSTN,4,
489,Finch Station,15,
490,Bathurst at wilson,8,
491,St.Clair Station,8,
492,BRGA,8,
493,43 Kennedy Route,30,
494,Vaughan route,10,
495,Kingston Road route,12,
496,Castle frank stn.,10,
497,Finch Station,15,
498,O'Connor on pape,3,
499,Mormningside and Staines,7,
500,Don Mills,12,
501,Ridge hill,8,
502,Woodbine downs,6,
503,Pape STN,3,
504,York University-Commons,14,
505,Morningside and Nightstar,7,
506,Kennedy stn,7,
507,Downsview Stn,24,
508,Signal Hill,7,
509,Eglinton Garage,10,
510,Eglinton Garage,13,
511,Colonel smith loop,4,
512,Eglinton stn to Bombay loop,15,
513,Eglinton stn to QueensPark,14,
514,DUNDAS WEST STATION,8,
515,Jane stn,10,
516,Lawrence W Station,11,
517,Weston and Lawrence W,14,
518,ALBION & KIPLING,20,
519,Kennedy & Cowadray CT,131,
520,Wilson Stn,19,
521,Lawrance RT station,10,
522,Eglinton STN,4,
523,Quensquay and Sherborune,10,
524,QueenQuay/Steeles on Yonge route,30,
525,Cherry Street Route,10,
526,HWY 191 rocket,12,
527,Finch & Brimley,4,
528,Finch West route,14,
529,Entire route,6,
530,Victoria Park Stn,15,
531,Steeles loop at Martin Grove,9,
532,Bellamy route,10,
533,Sheppard,18,
534,Birchmount route,10,
535,Bombay loop to Chruch and Richmond,23,
536,87 Cosburn Route,5,
537,64 Main route,5,
538,PAPE ROUTE,12,
539,62 Mortimer,15,
540,Don Mills Stn to Rouge Hill go,20,
541,Warden stn.,9,
542,Davisville stn,12,
543,Thorncliffe Route,14,
544,sunnybrook to Lawrence Station,18,
545,134 Progress Route-All Branch,12,
546,VP ROUTE,10,
547,McCowan Route 129A and 129,12,
548,Finch Station,11,
549,LAWRENCE and JANE,20,
550,Ellesmere and Birchmount,8,
551,Eglinton station,13,
552,Bartor on Arrow Rd,7,
553,Bathurst station,8,
554,Mortimer Route,17,
555,Parliament Route,16,
556,Main Street Route,8,
557,Cosburn Route,10,
558,York Mills station,20,
559,Pharmacy & Finch,34,
560,Jones route,30,
561,Woodbine South Route,9,
562,Leslie @ Finch,27,
563,WELLESLEY ROUTE,15,
564,STC,6,
565,Lawrence Station,6,
566,Eglinton Station,13,
567,Berkeley / Front,16,
568,Downsview Station,1,
569,HWY 27 and REXDALE,240,
570,pape Strn,10,
571,Jones Route,30,
572,Broadview Stn,10,
573,Don Mills station,7,
574,Kennedy Loop,20,
575,Wilson Station,14,
576,Downsview Station,4,
577,Winnett & Eglinton,9,
578,Sdcarb Town Ctr Stn,9,
579,Brimley and Danforth rd,11,
580,Wilson Station,6,
581,Wilson Station,8,
582,St.Clair west stn,7,
583,finch and weston,10,
584,Gargae / Royal York stn,30,
585,Commissioners / Don Roadway,10,
586,,11,
587,Islington stn,28,
588,Morningside & Finch,10,
589,Downsview Station,18,
590,Kennedy Station,10,
591,Broadview and Pottery Road,23,
592,Village Gate and Steeles,30,
593,Northridge and Cosburn,30,
594,Warden Stn,6,
595,woodbine stn.,19,
596,Eglinton Yard,1,
597,Coxwell Danforth,1,
598,Steeles Loop,6,
599,Jane st. @ Beverley Hill,10,
600,Eglinton Yard,1,
601,Pape stn,15,
602,FSTN,3,
603,woodbine stn.,13,
604,Warden Stn,6,
605,Passmore and Markham,5,
606,Lakeshore at Marine Parade,10,
607,FSTN,3,
608,Steeles Loop and Martin Grove,10,
609,York U,5,
610,York U Commons,10,
611,EGLINTON WEST STN,7,
612,Jane St @ Steeles W,15,
613,Warden Stn,8,
614,Morningview and Old Finch,7,
615,York University,5,
616,Staines & Morningside,6,
617,Kennedy loop,22,
618,Downsview stn,9,
619,Kipling and Rexdale,6,
620,York University commons,10,
621,Downsview stn,7,
622,Don Mills station,6,
623,York U Commons,4,
624,Finch Station,5,
625,Finch Station,13,
626,Dufferin and Tycos,8,
627,MAIN STATION,13,
628,mt. Dennis,4,
629,Arrow Road Garage,5,
630,Princes gate,8,
631,Mt Dennis,4,
632,Kipling and Rexdale,5,
633,Arrow Road Division,5,
634,York U / Commons,8,
635,Mt Dennis,6,
636,Steeles to Kipling Station,15,
637,Dufferin and Bloor,8,
638,Keele stn,12,
639,Weston rd and Oxford,20,
640,Finch Stn,6,
641,skymark,5,
642,Wilson stn lower,13,
643,Birchmount Route,10,
644,Eglinton W. stn to Neptune,20,
645,Entire line Scar Town to Maj Mac,25,
646,Long Branch Loop,20,
647,Colonel Sam Smith Loop,4,
648,Scarborough Town Centre to Steeles,24,
649,bay and College,8,
650,Wilson and Bathurst,25,
651,Wilson and Bathurst,25,
652,Don Mills station to Rouge Hill GO,20,
653,Dundas West Station to Avon Loop,15,
654,York Mills Station - Kingston Rd Loop,1,
655,62 Mortimer Route,1,
656,87 Cosburn Route,1,
657,Old Mill Station - Lakeshore@Marine Parade - Humber Loop,20,
658,Sheppard Station to WEBR,5,
659,lloyd manor and eglinton,5,
660,Warden Major Mackenzie dr,62,
661,Warden Major Mackkenzie dr,22,
662,Bay and College,8,
663,Wilson Stn.,6,
664,Dufferin and Tycos,8,
665,Bayview/Eglinton,17,
666,FSTN to STC,20,
667,Downsview stn,2,
668,York Mills and UpJohn,7,
669,Downsview stn,2,
670,Judson St and Horner Ave,1,
671,Kingston & Beechgrove,17,
672,Progress and Milner,8,
673,Centennial College,7,
674,Downsview stn,2,
675,Pine / lawrence,12,
676,Finch,19,
677,Warden and Ellesmere,15,
678,Dundas and Shorncliffe,5,
679,Bingham Ave--Loop,15,
680,McCowan and Finch,7,
681,Jones Route,12,
682,Weston,30,
683,Bayview/Eglinton,23,
684,Midland & Sheppard,11,
685,Kennedy Stn,11,
686,Eglinton Stn,7,
687,Lane and Lawrence,3,
688,EGLINTON WEST STN,1,
689,Bloor and Sherbourne,7,
690,keele and eglinton,1,
691,Springhurst loop,4,
692,Route 26,20,
693,KPSN,19,
694,jane and eglinton,1,
695,Wilson stn,1,
696,Kipling station,5,
697,Lawrence Station,8,
698,keele stn,1,
699,Downsview Stn,3,
700,Jane Station,6,
701,Jane Station,10,
702,Islington Station,18,
703,Kipling Stn,6,
704,Queen & Shaw,7,
705,Keele stn,8,
706,Royal York Station,7,
707,Islingotn Station,18,
708,Kipling Station,5,
709,Keele Stn,9,
710,Steeles and Kennedy,5,
711,Jane Station,6,
712,Tiffield and Finch,6,
713,Donlnads Station,17,
714,Kipling Stn,6,
715,Eglinton and Bessborough,7,
716,Downsview Stn,2,
717,Downsview Stn,2,
718,kennedy and Lawrence,5,
719,Lambton and Beechwood,18,
720,Southport/Queensways,24,
721,Queensway Route 80,1,
722,Steeles and Bayview,15,
723,OLD PARK AND EGLINTON,10,
724,Longbranch loop,20,
725,Main Station,10,
726,McNichol and Morbank,12,
727,54-Lawrance Route,19,
728,Bathurst route,20,
729,STC to Middlefield Loop,20,
730,Manse and Hainford,30,
731,E/b on Steeles at Bathurst,50,
732,Warden Ave Between Shappard and Ellesmere,1,
733,Driftwood Ave and Finch,18,
734,York Mills and Scarsdale,20,
735,Wynford - Concorde Place,6,
736,Downsview Stn,2,
737,Steeles Ave at Bathurst,1,
738,Eglinton Station,7,
739,Don Mills and York mIlls,6,
740,Keele Rte,25,
741,Ranee route,20,
742,Victoria park Stn,13,
743,Signal Hill and Steeles Ave,7,
744,Kennedy Stn,10,
745,Don Mills Stn,8,
746,FSTN,4,
747,Finch @ McCowan,4,
748,Scar Town,2,
749,Entire route,10,
750,Downsview Stn,10,
751,FSTN,4,
752,Lawrence,10,
753,don Mills Stn,9,
754,FSTN,4,
755,Finch and Driftwood Ave,1,
756,Neptune at Bathurst,15,
757,Comstock and Pharmacy,10,
758,Mt.Dennis Division,14,
759,Eglinton stn,15,
760,Kennedy stn,7,
761,Islington stn,10,
762,Birchmount garage,14,
763,Kenendy Stn,15,
764,Eglinton Stn to Broadview Stn,300,
765,Main Station to Broadview Station,20,
766,CONSUMERS / VP,10,
767,Main Station to Broadview Station,20,
768,Kingston Road route,13,
769,Keele & Eglinton,8,
770,Finch Station,1,
771,Lawrance and Warden,7,
772,Eglinton stn,15,
773,Kennedy Stn,12,
774,Downsview Station,4,
775,Route 37 Islington,1,
776,Passmore and Markham,15,
777,WESTON RD and LAWRENCE,16,
778,Downsview Station,3,
779,Kennedy Stn,1,
780,ESTON RD and LAWRENCE,11,
781,Jane stn,10,
782,LAWRENCE WEST STATION,11,
783,Starspray Loop,10,
784,Lawrence Station,6,
785,York University - Commons,14,
786,WESTON RD and LAWRENCE,11,
787,Eglinton Station to Kennedy Station,300,
788,Jane stn,10,
789,Downsview Stn,3,
790,Wilson Stn,1,
791,st.Clair west station,5,
792,Oriole Pkwy,16,
793,York University-Commons,14,
794,Hillsdale,30,
795,Pape route,12,
796,Don Mills b/w,29,
797,Thorncliffe Route,13,
798,HWY 191 rocket route,14,
799,Finch West route,16,
800,Graydon Hall route,60,
801,Weston & Eglinton,8,
802,VICTORIA PARK STATION,15,
803,Eglinton West stn,8,
804,York & Wellington,15,
805,Bathurst at Lawrence,8,
806,ST. CLAIR,14,
807,Lloyd Manor & Eglinton,8,
808,Berwick,1,
809,Warden Station,8,
810,Gaspe & Finch,4,
811,Entire route,15,
812,Entire route,20,
813,Entire route,20,
814,ENTIRE ROUTE,15,
815,entire route,20,
816,entire rotue,20,
817,Bombay / Eglinton stn,8,
818,Eglinton / Steeles,11,
819,entire route,20,
820,Steeles / Davisville stn,12,
821,VICTORIA PARK ROUTE,15,
