,Location,Min Delay,delay_count
1915,Scarboro Town Center,30,
1916,St. Andrews route,15,
1917,Route 80 Queensways,1,
1918,Eglinton stn to Bombay loop,15,
1919,STC,15,
1920,STC,15,
1921,Entire Route,10,
1922,Woodbine North route,10,
1923,entire route,11,
1924,77-Swansea route,12,
1925,Steeles to Davisville stn,12,
1926,entire route,13,
1927,entire route,12,
1928,Eglinton and Bessborough Dr.,13,
1929,Entire Royal York North Route,30,
1930,53 Steeles Route-All branch,15,
1931,Eglinton stn to Queenspark,15,
1932,Bishop Allen,10,
1933,victoria park stn.,8,
1934,YOCE,10,
1935,Symington/Dupont,5,
1936,STC to Finch Station,30,
1937,Donlands stn,23,
1938,Warden stn.,5,
1939,W/B Eglinton - Mt Pleasant,4,
1940,Don Mills Stn,12,
1941,martingrove/Eglinton,12,
1942,Morningside & Lawrence,5,
1943,15 Evans,1,
1944,Jane/Heathrow,20,
1945,Finch Station,23,
1946,Royal York/Station,5,
1947,Don Mills station,3,
1948,Kenn Stn,13,
1949,Eglinton stn,15,
1950,Downsview Station,4,
1951,STC to Finch station,30,
1952,Seneca college,10,
1953,Cosburn route,8,
1954,South Kingsway & Ormskirk,10,
1955,STC,9,
1956,York U,2,
1957,Lower Jarvis and Queens Quay,7,
1958,Kipling station,5,
1959,Eglinton Station to Kennedy Station,15,
1960,Morningview tr and morningside,7,
1961,Don Mills station,3,
1962,McCowan and Denision,24,
1963,Larence RT Station,10,
1964,Markham Rd-Steeles,5,
1965,Oakwood and Vaughan,17,
1966,Don Mills,20,
1967,Thorncliffe Route,12,
1968,Silver Hills route,15,
1969,Finch West route,25,
1970,Entire Steeles West Route,25,
1971,Oakdale,5,
1972,Route 37 Islington,1,
1973,191 HWY 27 rocket,25,
1974,WELLESLEY ROUTE,15,
1975,Downsview Stn to teston,30,
1976,Entire Rathburn Route,10,
1977,32-Eglinton Route,15,
1978,Downsview Stn to major mackenzie.,20,
1979,52 LAWRENCE R(OUTE,20,
1980,404 and Finch Ave East,15,
1981,Signal Hill,7,
1982,Bombay loop to Chruch and Richmond,20,
1983,Eglinton Station to Broadview Stn,15,
1984,Midland & Steeles,8,
1985,Kipling stn,12,
1986,Drewry and Yonge St,10,
1987,Yonge at Drewrey,40,
1988,Cummer and Yonge St,1,
1989,Jane route,15,
1990,Eglinton stn to Townsend and Freshmedow,28,
1991,graydon Hall route,30,
1992,Bathurst & Eglinton,5,
1993,Queen Quay,7,
1994,Bathurst station,1,
1995,York Mills Stn.,4,
1996,QueensQuay &  Sherbourne,10,
1997,Royal York & Eglinton,8,
1998,Eglinton and Renforth,17,
1999,Downsview Stn,8,
2000,vp/curlew,7,
2001,Keele & Eglinton,8,
2002,Kipling Stn,1,
2003,Kennedy Stn - U of T Loop,5,
2004,Entire route,30,
2005,Route 123 Shorncliffe,1,
2006,Entire rotue,20,
2007,Entire rotue,40,
2008,Finch and Wilmington.,13,
2009,Royal York/Queensway,5,
2010,Dixon and Skyway,18,
2011,Yonge and Drewry,5,
2012,Finch Station,1,
2013,jane/route,12,
2014,Sheppard Stn to Rouge Hill Go,17,
2015,Kennedy Eglinton,64,
2016,Milner @ Burrows Hall Blvd,12,
2017,Langstaff and GO Railway track,100,
2018,Kenedy Stn,8,
2019,York Mills stn to Don Mills,15,
2020,Maple Leaf and Culford,13,
2021,LAWRENCE and ROYAL YORK,11,
2022,Brimley & Shediac,20,
2023,Kennedy Stn,10,
2024,Lawrence and Railside Rd.,11,
2025,Downsview Station,4,
2026,Sheppard-Yonge Station,1,
2027,Invergordon and  mCcowan,7,
2028,Bathurst and Olive,9,
2029,Bombay loop,20,
2030,Oakwood and Vauhgan,5,
2031,Meadowvale Loop,10,
2032,Neislon and Crowtrail,60,
2033,Martin Grove Loop,11,
2034,Kennedy Station,10,
2035,Wilson Station,14,
2036,Longbranch Loop,24,
2037,humberwood loop,9,
2038,Kennedy Station,10,
2039,jane and eglinton,8,
2040,Neilson and Crow Trail,9,
2041,Kennedy Station,7,
2042,Valley Road and Ellesmere,14,
2043,Eglinton Station,4,
2044,Kipling stn,9,
2045,Kennedy Stn,15,
2046,Morningside & Military Trail,84,
2047,Kipling stn,10,
2048,Warden / Steeles,22,
2049,Finch Station,13,
2050,Humberwood and Hullrick,30,
2051,Kennedy Station,10,
2052,Kennedy Station,20,
2053,Victoria Park and Danforth,20,
2054,Yonge & Eglinton,4,
2055,Steeles Loop,3,
2056,Bathurst and Antibies,110,
2057,Kennedy Stn,10,
2058,Pape stn,3,
2059,Rouge Hill Go stn,9,
2060,SKYMARK,5,
2061,Princes' Gates,8,
2062,Beth Nealson and Overlea,20,
2063,Consumers and Victoria Park,12,
2064,York Mills Stn.,1,
2065,Eglinton yard,1,
2066,Lawrence RT,6,
2067,Finch Stn.,9,
2068,Eglinton stn,5,
2069,Ellesmere RT,7,
2070,Sheppard Loop @ Meadowvale,5,
2071,Malvern Garage,2,
2072,Malvern garage,3,
2073,St. Clair and Mt. Pleasant,35,
2074,Weston Rd.,10,
2075,Duncan Mills Dr and Don Mills Rd,10,
2076,FSTN,5,
2077,Donmills Station,12,
2078,Malvern Garage,15,
2079,Ellesmere RT,7,
2080,Lawrence West Station,12,
2081,Warden Station,10,
2082,Townsend and Freshmeadow,14,
2083,Ellesmere RT,7,
2084,Downsview stn,5,
2085,York U / Commons,12,
2086,Eglinton stn,5,
2087,Finch Route,4,
2088,FSTN,5,
2089,Vic-park,8,
2090,Albion rd,4,
2091,McNicoll  and Victoria,13,
2092,Donlands Station,17,
2093,Passmore & Markham rd,5,
2094,Morningside & Old Finch,12,
2095,STC,2,
2096,Star Spray Loop,9,
2097,Finch Stn,13,
2098,York U / Commons,1,
2099,Finch and Donmills,3,
2100,Entire Route,9,
2101,Warden stn,4,
2102,Star Spray Loop,9,
2103,Lawrence stn,6,
2104,Mount Dennis Garage,15,
2105,Ness Victoria park ave,15,
2106,Goldwin Ave,9,
2107,Pharmacy Crossland,17,
2108,Downsview stn,3,
2109,Steeles Loop west of Islington Ave,8,
2110,st. Clair and Lansdowne,175,
2111,Eglinton W. stn to Bathurst and Neptune,20,
2112,Downsview stn,2,
2113,Broadview rd route,12,
2114,Shepppard station,30,
2115,Downsview stn,7,
2116,York U,5,
2117,sheppard Station,8,
2118,Royal York Rd and Evans Ave,1,
2119,Entitre route,12,
2120,Lakehore at Mimico,5,
2121,Colonel Sam Smith Loop,4,
2122,lansdowne and St. Clair,9,
2123,Keele stn,9,
2124,Old Weston rd at St. Clair,4,
2125,Queen's Park Circle,240,
2126,Queen's Park Cirlce,270,
2127,Queens Park,1,
2128,Spinnaker way,18,
2129,Weston and Oak St,23,
2130,Eglinton stn,6,
2131,West Mall at Burnamthorpe,22,
2132,Entire route,18,
2133,Lawrence Ave.West and Hickory Tree Rd.,12,
2134,Dovercourt Rd. and Northumberland Rd.,18,
2135,Pape Stn,6,
2136,Islington Station,10,
2137,Grantbrook and Finch,20,
2138,Dundas from Shornecliffe to Auckland,330,
2139,Morningside and Military Tr.,1,
2140,FSTN,8,
2141,CastleFrank Station,14,
2142,Jane,8,
2143,Route 6,133,
2144,Finch and Donmills,4,
2145,Route 26,17,
2146,Dundas Shornecliffe to Aukland,20,
2147,York U / Commons,90,
2148,York University Commons,10,
2149,STC STN,11,
2150,Old Finch,19,
2151,York U Commons,75,
2152,York U Commons,70,
2153,McCowan and Steeles,7,
2154,York U Commons,68,
2155,Dufferin at Dundas,20,
2156,Leith Hill and DonMills,10,
2157,Cowell cosbun to Mortimer ave,15,
2158,Steeles & Kennedy,4,
2159,Warden stn,18,
2160,Finch route,4,
2161,Kipling at John Garland,10,
2162,Queen Coxwell,9,
2163,Lawrence and Underhill,23,
2164,Lawrence Ave.West and Weston Rd.,13,
2165,Eglinton & Redpath,9,
2166,Kennedy Stn,7,
2167,Sunnybrook Hospital,20,
2168,Sunnybrook hosptial,20,
2169,Old Finch route,20,
2170,Bus Roadway  east of Keele,2,
2171,Barrington and Lumsden,8,
2172,Finch and Donmills,4,
2173,STC STN,11,
2174,Kipling at Eglinton,20,
2175,Kipling station,10,
2176,Finch Route,5,
2177,Entire line,15,
2178,Sheppard Stn,10,
2179,Bayview and Sheppard,11,
2180,Dundas/Shorncliffe,12,
2181,Military trail West of Neilson,15,
2182,U of T,13,
2183,Warden and Ashtonbee,16,
2184,Royal York Station,9,
2185,54-Lawrance Route,12,
2186,STC STN,11,
2187,STC,21,
2188,McCowan and Sandhurst Cir,28,
2189,Rexdale/Bergamot,19,
2190,Leslie ans Lawrance,11,
2191,Main Station,10,
2192,FSTN to OFIN,20,
2193,Finch Station,5,
2194,Rainee route,15,
2195,Entire Symington Route,15,
2196,FSTN to STC,20,
2197,Eglinton Yard,10,
2198,Downsview Stn,3,
2199,Don Mills Stn,7,
2200,Malvern Yard,15,
2201,Keele and St Clair,7,
2202,Scar Town,2,
2203,Meadowvale Loop,6,
2204,Markham Rd-Passmore,15,
2205,Don Mills Stn,12,
2206,Sheppard and Brimley,15,
2207,Oakwood / Earlsdale,8,
2208,York Mills Stn.,7,
2209,Woodbine Downs & Carrier Dr.,19,
2210,Keele and Finch,2,
2211,Route 15 Evans,1,
2212,vp route,5,
2213,Downsview Stn to all Branches,1,
2214,Entire Route,8,
2215,111 East Mall,1,
2216,Entire Royal South Route,15,
2217,Vaughan Route,16,
2218,Yonge and York Mills,30,
2219,Townsend and Freshmedow,15,
2220,Sheppard-Yonge Station,30,
2221,Coxwell and Gerrard Street,9,
2222,Don Mills,3,
2223,Davenport / Dupont,10,
2224,Downsview Stn,8,
2225,Scar Town,7,
2226,Downsvieww Station,4,
2227,Entire Route,8,
2228,Kipling Stn,11,
2229,Bayview and Sheppard,12,
2230,WESTON and LAWRENCE,7,
2231,Downsview Station,5,
2232,Queenspark and Wellesley,15,
2233,Queen and Wineva,8,
2234,Eglinton West station,12,
2235,Lawrance RT station,10,
2236,York U commons,11,
2237,Davsville Station,30,
2238,Finch west route,14,
2239,HWY 191 rocket route,16,
2240,Davisville stn,6,
2241,Mt dennie garage,8,
2242,Queenspark and Wellesley,16,
2243,Kennedy Stn,12,
2244,Donmills Stn,20,
2245,Lower Jarvis and Queens Quay,7,
2246,VP AND DAWES,15,
2247,Downsview Stn,9,
2248,Morningside and Staines,15,
2249,Bathurst and Drewry,8,
2250,Steeles West Route,15,
2251,Don mIlls and Steeles,3,
2252,Silver Hills route,15,
2253,Broadview station,10,
2254,Davisville stn,12,
2255,Jarvis/Richmond,10,
2256,Donmills and Finch and W/B victoria park,21,
2257,Humber College and HWY 27,5,
2258,Bathurst and Glencairn,8,
2259,LAWRENCE and JANE,11,
2260,Kipling stn,6,
2261,Eglinton stn,15,
2262,Pine,12,
2263,Don Mills and Sheppard,4,
2264,Broadview/Cosburn,10,
2265,York Mills and Don Mills,2,
2266,LAWRENCE and DUFFERIN,12,
2267,Sloan / Elvaston,24,
2268,Bathurst and Wilson,9,
2269,JANE and LAWRENCE,197,
2270,South and Glen,15,
2271,jane and lawrence,188,
2272,Dundas W. Stn,10,
2273,Staines and Morningside,18,
2274,Lawrence & Birchmount,10,
2275,STC,9,
2276,Dufferin and College,5,
2277,Bathurst Station,10,
2278,Meadowvale & Generation,10,
2279,Steeles loop,10,
2280,lakeshore and front,4,
2281,Kipling and Finch,30,
2282,Eglinton Yard,1,
2283,Hullmar,10,
2284,Main Station,13,
2285,MGRC,26,
2286,Passmore & Markham,4,
2287,yorkdale,18,
2288,Warden Stn,21,
2289,Morningside & Old Finch,15,
2290,Eglinton Garage,1,
2291,Binghamloop,6,
2292,St. Clair W. stn,16,
2293,Meadowvale Loop @ Sheppard,16,
2294,Lawrence Ave.West and Pine St.,25,
2295,McCowan and Steeles,13,
2296,Kennedy Stn,7,
2297,Mount Dennis Garage,13,
2298,Lawrence and Manse,24,
2299,STC,15,
2300,Yonge at Cresent,4,
2301,Wilson stn,1,
2302,Eglinton Garage,10,
2303,Wilson /  Transit rd.,13,
2304,Eglinton Station,15,
2305,Driftwood and Stong,13,
2306,Ellesmere and Kingston Rd,7,
2307,Dufferin and Tycos,8,
2308,Morningside & Old Finch,13,
2309,Downsview stn,7,
2310,KPSN,5,
2311,Passmore & Markham,5,
2312,Eglinton Garage,7,
2313,Main Station,6,
2314,Dufferin and Bloor,8,
2315,FINCH,10,
2316,Malvern Garage,3,
2317,Main Stn,9,
2318,St. Clair Stn,15,
2319,RC27,10,
2320,Malvern garage,3,
2321,Woodbine Station,10,
2322,Kipling,5,
2323,Finch and Don Mills,3,
2324,ENTIRE ROUTE,15,
2325,Entire Route,13,
2326,York U / Commons,8,
2327,Ellesmere East of Midland,7,
2328,Middlefield and Steeles,6,
2329,St.Clair Station,6,
2330,Kipling Ave and Evans Ave,7,
2331,warden Stn,7,
2332,Birchmount route,10,
2333,Markham rd Route,10,
2334,Gerrard Route,10,
2335,Eglinton W. stn to Bathurst and Neptune,15,
2336,Victoria Park Station,6,
2337,Sewells and Brenyon Way,12,
2338,STC,3,
2339,Woodbine Station,9,
2340,Davenport and Wychwood,16,
2341,Entire Route,11,
2342,Donmils / Vicpark,6,
2343,Entire route,9,
2344,Don Mills station to Rouge Hill GO,25,
2345,Keele st,8,
2346,Weston rd,8,
2347,Leslie and 401,20,
2348,Victoria Park route,1,
2349,Finch Station to Middlefield,25,
2350,STC,3,
2351,Downsview stn,2,
2352,York Mills to Kingston Road Loop,1,
2353,Warden Stn,10,
2354,Mt. Pleasant and Eglinton,470,
2355,Downsview stn,2,
2356,Downsview stn,2,
2357,The Westway and Martingrove Rd.,12,
2358,St.Clair Station,15,
2359,Albion rd and Weston,5,
2360,Renforth Dr and Convair Dr,20,
2361,Islington/Bergamot,22,
2362,SLPM,10,
2363,E/B PORTLAND AT NEW CASTLE ST,1,
2364,BLOOR ST BETWEEN DUNDAS SYSMINGTO,20,
2365,83 Jones Route,1,
2366,McNichol and Leslie,24,
2367,Victoria Park Station,10,
2368,Birchmount Rd and Sheppard Ave E,10,
2369,Davisville Station,30,
2370,Kipling Ave and Evans Ave,4,
2371,Finch Station,4,
2372,dundas w stn,10,
2373,Bridal town circle on Finch Ave,4,
2374,eglinton stn,10,
2375,sheppard Station,12,
2376,Kipling Ave and Prince George,10,
2377,Finch route,13,
2378,Bathurst and College,5,
2379,Old Finch,20,
2380,Entire Symington Route,10,
2381,Lawrence Ave.West and Weston Rd.,13,
2382,Finch Stn,25,
2383,Eglinton STN,6,
2384,Nairn and eglinton,10,
2385,Victoria Park Stn,10,
2386,Kingston Rd / St Clair Ave E,10,
2387,Finch Rocket,4,
2388,Passmore & Markham,5,
2389,Eglinton West / Old Forest dr,12,
2390,54 lawrence East route,14,
2391,Bakefield/Sheppard,8,
2392,Eglinton West Stn,1,
2393,Wynford - Eglinton,6,
2394,Eglinton and Keele,1,
2395,Finch and Driftwood,18,
2396,Midland & finch,11,
2397,Downsview stn,3,
2398,Downsview Stn to all branches,1,
2399,Rainee route,15,
2400,Ivordale / Victoria Park,10,
2401,Don Mills Eglinton,6,
2402,Don Mills Stn,7,
2403,Kennedy Stn,17,
2404,U of T loop,11,
2405,Scar Town,2,
2406,Downsview stn,13,
2407,Downsview stn,2,
2408,Pape station,3,
2409,Mt. Pleasant Loop,15,
2410,St Basil School,3,
2411,Castle Frank Stn,7,
2412,Pape & Oconnor,7,
2413,Staines and Morningside,15,
2414,Bridletown S,39,
2415,woodbine downs at finch,19,
2416,Queens Park circle,16,
2417,Finch Station,6,
2418,Ranee route,10,
2419,Finch Stn,10,
2420,Downsview Station,4,
2421,Eglinton stn,10,
2422,Steeles,30,
2423,STC,9,
2424,Davenport and Yonge,10,
2425,Canmore & Halfmoon,22,
2426,Downsview Station,5,
2427,Passmore and Markham Rd,5,
2428,lawrence RT,10,
2429,Lawrence and Morningside,6,
2430,Woodbine Station,9,
2431,Finch West route,18,
2432,191 HWY Rocket,16,
2433,Victoria Park Stn,12,
2434,Gateway and Don Mills,3,
2435,Lawrence and Don Mills,3,
2436,Royal York Station,5,
2437,Finch Stn,3,
2438,Silver Hills route,15,
2439,Castle Frank Stn,7,
2440,Donmills stn,10,
2441,Steeles and Warden,19,
2442,Dawes route,10,
2443,Kipling stn,8,
2444,Davisville stn,6,
2445,Seneca Loop,15,
2446,Seneca Loop,2,
2447,Donlands,12,
2448,Kennedy and Finch Ave East,20,
2449,Finch and Tangiers,7,
2450,Weston Road at Oak Street,13,
2451,Pape station,5,
2452,Morningside and Stains,6,
2453,Sheppard and Bangor Rd,30,
2454,Davisville stn,1,
2455,Jane st,5,
2456,Teston and Cranston Pk,24,
2457,Eglinton and Danforth,11,
2458,St. Clair,6,
2459,Finch Station,6,
2460,Royal York stn,10,
2461,Main Stn,10,
2462,sheppard and arrow,9,
2463,Gibson,6,
2464,Dundas / Burnhamthorpe,30,
2465,Kipling stn,11,
2466,Markham Rd / 16th Ave,30,
2467,Neptune and Rajh,22,
2468,Scar. Twn Cen.,30,
2469,Warden Stn,10,
2470,T1 and Jetliner,100,
2471,Kennedy station,10,
2472,FreshMeadow,12,
2473,Eglinton station,10,
2474,Manse and Lawrence,30,
2475,JNST,8,
2476,Eglinton Garage,10,
2477,Wilson station,16,
2478,Royal York Station,7,
2479,Baldoon and Finch,5,
2480,Maj Mac. and Mingay,1,
2481,Passmore & Markham,5,
2482,Baldoon and Finch,4,
2483,Stong and Driftwood,27,
2484,Warden Stn,5,
2485,Islington/Westway,355,
2486,Eglinton Garage,13,
2487,Islington and Westway,75,
2488,Royal York stn,15,
2489,Dundas West Station,4,
2490,Keele and Finch,19,
2491,Albion and Finch,75,
2492,McCowan and Steeles,6,
2493,Ablion/finch,52,
2494,Yorkmills station,22,
2495,The westway and Islington,609,
2496,McCowan and Steeles,4,
2497,Eglinton Garage,1,
2498,Keele & Eglinton,5,
2499,St. Clair W. stn,7,
2500,Eglinton West Stn,4,
2501,Harding Ave,10,
2502,Pharmacy and Rannock,5,
2503,Woodbine downs,15,
2504,Don Mills & Duncan Mill,5,
2505,Sheppard Stn,17,
2506,All locations,5,
2507,Yorkmills station,66,
2508,Eglinton stn,5,
2509,Weston & Eglinton,5,
2510,Yorkmills station,14,
2511,Princes gate,8,
2512,Eglinton STN,13,
2513,Downsview Station,13,
2514,FSTN,12,
2515,Don Mills station,11,
2516,Pape Stn,3,
2517,HWLP,5,
2518,Eglinton West Stn,4,
2519,Bombay Loop,60,
2520,Bombay Loop,10,
2521,Pape Station,4,
2522,Eglinton Garage,5,
2523,Pine & Lawrence,5,
2524,Pape Stn,4,
2525,Warden Stn,10,
2526,Founder and Ian Macdonald,12,
2527,Keele stn,5,
2528,U of T Scarborough Loop,9,
2529,Keele stn,5,
2530,Downsview Station,6,
2531,McCowan and Steeles,3,
2532,Eglinton Station,10,
2533,Markham and Finch,7,
2534,Yonge & Drewry,6,
2535,Oakwood Loop,4,
2536,Birchmount Route,15,
2537,Sheppard Stn,9,
2538,Birchmount and Bonis Av,14,
2539,Victoria Park & Sheppard,40,
2540,Mt. Pleasant and Eglinton,45,
2541,Broadview rd route,15,
2542,Main Station,1,
2543,Don Mills Stn,3,
2544,Warden Stn,10,
2545,McCowan and Bridley,28,
2546,Lawrence and Railside,62,
2547,Lawrence/Railside,15,
2548,Ossington stn,5,
2549,Alll locations,15,
2550,Mt.Dennis division,24,
2551,Stella and Maple Leaf,21,
2552,York Mills @ Sandfield Rd,15,
2553,Jane & Eglinton,13,
2554,Keele stn,21,
2555,Davisville Station,11,
2556,Passmore & Markham,5,
2557,York University Commons,10,
2558,Eglinton west stn,1,
2559,FSTN to STC,15,
2560,Eglinton - Brentcliffe,7,
2561,John Garland,5,
2562,Sentinel and The Pond,10,
2563,Kipling Stn,20,
2564,STC to FSTN,20,
2565,FSTN to STC,20,
2566,54-Lawrance Route,12,
2567,FSTN to OFIN,15,
2568,Bathurst route,15,
2569,STC,7,
2570,Finch station,5,
2571,Dufferin at Rowan,5,
2572,STC,4,
2573,Bathurst Station,1,
2574,Bathurst Station,1,
2575,Eglinton Wst stn,1,
2576,Eglinton stn,1,
2577,Downsview stn,5,
2578,Downsview Station,3,
2579,Bathurst Lawrence,7,
2580,MOFI,10,
2581,Eglinton west stn,15,
2582,Don Mills Stn,7,
2583,Avenue rd and Dublaine ave,15,
2584,FSTN,4,
2585,Kennedy Stn,17,
2586,KENNEDY STN,17,
2587,Scar Town,2,
2588,FSTN,4,
2589,Don Mills Stn,9,
2590,FSTN,4,
2591,U of T loop,11,
2592,Mt. Pleasant Loop,15,
2593,St.Clair Station,15,
2594,St Basil School,5,
2595,Lawrence,7,
2596,Dundas W.  Stn,5,
2597,Finch Station,6,
2598,Entire Symington Route,20,
2599,Entire Route,8,
2600,Markham Rd Route,10,
2601,Townsend and Freshmedow,15,
2602,YOCE,8,
2603,Pape stn.,8,
2604,Markham Rd / 401,24,
2605,Passmore and markham,8,
2606,Shepaprd @ Yorkland,38,
2607,Finch Station,11,
2608,Yorklands/Sheppard,40,
2609,Yorklands/Sheppard,40,
2610,Downsview Station,5,
2611,Dundas and Keele,9,
2612,Route 80 Queensway,15,
2613,Alma,5,
2614,Downsview Station,4,
2615,Ranee route,10,
2616,Lawrence/Blossomfield,16,
2617,Sheppard and Yorkland,35,
2618,woodbine downs,19,
2619,Wynford - Don Mills,19,
2620,Pharmacy Ave and St.Clair Ave,10,
2621,Davisville stn,12,
2622,Finch Station,6,
2623,Dawes route,8,
2624,HWY 191 rocket,14,
2625,Davisville stn,6,
2626,Finch West route,12,
2627,GREENWOOD STATION,13,
2628,Royal York/Frankwood,5,
2629,Blythwood and Bayview,12,
2630,Cennetinial College,6,
2631,Don Mills Stn,16,
2632,Entire Route,5,
2633,Eentire Steeles West Route,15,
2634,Ellesmere and Dolly Vartin,6,
2635,Sewelles and Markham,8,
2636,Broadoaks and Keele,9,
2637,TERMINAL 1,11,
2638,Route 37 Islington,10,
2639,Col Sam loop,4,
2640,Bayview and Steeles,5,
2641,DANFORTH/ST DUNSTAN,15,
2642,Ellesmere and Dolly Vartin,5,
2643,STC,4,
2644,Lawrance and Donmills,7,
2645,Hwy 427 and Eglinton,15,
2646,MVOF,9,
2647,Kennedy stn,8,
2648,Liberty,5,
2649,Kennedy Station,12,
2650,Tappscotta nd Blackwell,9,
2651,Downsview Station,4,
2652,Tappscott and Blackwell,9,
2653,Neilson and Tapscott,8,
2654,LAWRENCE and SCARLETT,12,
2655,Downsview Stn.,15,
2656,LAWRENCE WEST STATION,11,
2657,Eglinton West stn,10,
2658,Craigton and Oharmacy,10,
2659,Silverdale and Yorkmills,14,
2660,Humberwood Loop,7,
2661,Leslie stop,14,
2662,Flemingdon route,9,
2663,Redpath and Eglinton,9,
2664,Eglinton and Ennerdale,12,
2665,Royal York stn,12,
2666,Wellesley Route,10,
2667,Wellesley / Yonge,10,
2668,Sunnybrook hospital,30,
2669,Coxwell and O'Connor,18,
2670,Keele and St. Clair,10,
2671,Midland and Steeles,10,
2672,jetliner,240,
2673,jet liner,322,
2674,Gledhill ave/ cosburn ave.,10,
2675,Finch station,10,
2676,Christy on Bloor street,5,
2677,Sheppard ave on Kennedy rd.,10,
2678,Jane street on Bloor street,10,
2679,Malvern Garage,17,
2680,Staines Rd and Steeles Ave E,30,
2681,Finch Station,30,
2682,Broadview Station,20,
2683,Islington Ave and Evans Ave,6,
2684,Bingham LOOP,10,
2685,York Mills Station,30,
2686,Main Station,23,
2687,Kipling Station,15,
2688,Scarborough town centre,30,
2689,87 Cosburn Route,10,
2690,St.Clair station,20,
2691,Royal York Station,10,
2692,Ossington and N Humerland,10,
2693,Broadview Station,15,
2694,MAYBROOK/PASSMORE,20,
2695,Royal York Station,10,
2696,Downsview station,12,
2697,Nugget Ave and Markham Rd,413,
2698,Islington  Ave and Allenby Ave,30,
2699,Eglinton STN,10,
2700,Islington Ave and Allenby Ave,64,
2701,Woodbine Station,15,
2702,Strachan/East liberty,390,
2703,York Mills Station,30,
2704,Vic.park STN,15,
2705,Earl'scourt Loop,18,
2706,Bathurst/Steeles,36,
2707,Wilson station,5,
2708,Yorkmills/Lesmil,30,
2709,Wellesley Station,11,
2710,Pine/lawrence west,10,
2711,Bathurst and Neptune,22,
2712,OFIN,12,
2713,Eglinton stn,10,
2714,Wilson Station,5,
2715,Parliament Route,15,
2716,Entire Route,6,
2717,Entire Route,10,
2718,Weston and Humber,10,
2719,Pape STN,6,
2720,Wilson Station,5,
2721,Wilson Stn to Ki Springhurst loop,30,
2722,Pine / Lawrence west,10,
2723,Royal York Station,13,
2724,STC,10,
2725,EGLINTON STN,15,
2726,Warden STN,12,
2727,Lawrence west station,17,
2728,24 Victoria Park Route,1,
2729,Cosburn Route,10,
2730,Albion and Weston Rd,7,
2731,Passmore and markham,6,
2732,Lawerence/Kennedy,16,
2733,Entire Route,1,
2734,Downsview Station,8,
2735,Brentcliffe,1,
2736,Broadview Stn,9,
2737,Dufferin and Eversfield,5,
2738,Eglinton/Brentcliff,27,
2739,Entire Route,30,
2740,Eglinton Stn to Kennedy Stn,15,
2741,SHERBOURN AND BLOOR,7,
2742,Castle Frank Stn,7,
2743,Bathurst and Finch,7,
2744,Parliament Route,16,
2745,Dufferin and st Clair,3,
2746,Sheppard @ Baymills,6,
2747,Entire Route,18,
2748,Keele and Eglinton,8,
2749,VP station,10,
2750,Finch Station,21,
2751,Dufferin and eglinton,3,
2752,STC,10,
2753,Steeles and Martin grove,17,
2754,Warden Stn,10,
2755,Sherway Gardens,24,
2756,Ossington station,12,
2757,Middlefield & Finch,8,
2758,Eglinton Stn,7,
2759,Wilson Stn,3,
2760,York mills Stn,30,
2761,Bathurst and St Clair,8,
2762,Sheppard Ave on McCowan,6,
2763,Kingston Rd Route,15,
2764,Midland Route,12,
2765,Col Sam loop,9,
2766,Kipling station,10,
2767,Sheppard @ Kingston Rd,22,
2768,Dundas West Station,10,
2769,Bathurst and St Clair,7,
2770,Lawrence station,6,
2771,Wilsion stn,3,
2772,Downsview stn,10,
2773,Kipling stn,10,
2774,Wilson Stn,4,
2775,Downsview Stn,10,
2776,Entire Route,18,
2777,Keele and Dundas,8,
2778,Kipling stn,9,
2779,Gaspe & Finch,6,
2780,FSTN,12,
2781,Grandravine and Derrydown,180,
2782,Jane and Heathrow,313,
2783,Wilson and Heathrow,60,
2784,Sentinel and Stilecroft,45,
2785,Downsview Stn.,15,
2786,WARDEN STN.,30,
2787,Kennedy STN,10,
2788,Jane and Chalkfarm,30,
2789,STC,16,
2790,Davisville stn,15,
2791,Victoria Park & Finch,6,
2792,Finch and Greenview,8,
2793,Dixon and Kipling,20,
2794,Bathurst and Old Orchard,62,
2795,Nashdene and Markham rd.,10,
2796,Downsview Stn,8,
2797,Bermondsey/Hollinger Rd.,10,
2798,Kipling stn,1,
2799,Beverly Hills Dr & Jane St.,5,
2800,Main stn.,10,
2801,janer and wilson,8,
2802,Eglinton and Royal York,97,
2803,finch and humber college,10,
2804,Entire Route,20,
2805,jane and wilson,11,
2806,jane and wilson,62,
2807,Midland ave on St. Clair,20,
2808,STC STN,19,
2809,Concorde and Wynford,10,
2810,Sherway Gardens,30,
2811,Steele's @ McCowan,10,
2812,Steeles and Midland,30,
2813,Warden Stn,10,
2814,Yonge St,30,
2815,Dufferin & Lawrence,35,
2816,Dovercourt & Hallam,705,
2817,Kennedy Station,12,
2818,Founders & Steeles,20,
2819,Finchdene square,30,
2820,Terminal 3 to Danforth and Danforth,15,
2821,Kennedy Stn,18,
2822,Garage,15,
2823,Finch Station,27,
2824,ORTB,5,
2825,Kennedy Station,18,
2826,Bombay Loop,20,
2827,Warden Stn,17,
2828,Broadview Station,999,
2829,Bloor/Avenue Rd,20,
2830,LongBranch Loop,20,
2831,Sheppard/Warden Av,15,
2832,Broadview Station,999,
2833,Eglinton Station,33,
